id	name	surname	email	password	date	who	points_remainder	room
1	Алексей	Танаев	atgmail@ru	pppppp	2008-11-10	Ученик	6	7б
2	Максим	Щербаков	mgmail@ru	dwdwdwddw	2024-02-22	Ученик	35	8г
3	Ксения	Одинцова	kgmail@ru	scrypt:32768:8:1$4rmjHjl0DXnjHxGH$bd830e647bc0b653654128cc390fe759de7a4a0266567f13c61363c3161ff44e6de3e500eb2c72d8b8fface5db0b822fc847c0adf3a587b783b8f95595b55c3f	2024-02-22	Ученик	5	8г
4	Дарья	Панаева	dgmail@ru	dwdwdwddw	2024-02-22	Ученик	3	10т
5	Юлия Михайловна	Кудрявцева	julia.gmail@ru	scrypt:32768:8:1$wjaMsLJWyRi06bcm$232adb480a82f4ec83c8f6e22597b4eb59832f09d64af1d862d38af7a6b2bec5fdfdae8cf7e6fad0b8d85822d873b0d1f455ebca1d651a6bd8c0c8fd568a8180	2024-11-29	Учитель	27	209
6	Артём	Смирнов	asgmail@ru	scrypt:32768:8:1$GNIDKH31xZPZe6Eb$232fc4a084a1433918cc0f2a38fc23c2e1ce3a81da655b08e1e85daa4aed78adbc092f6db955d9f5666efe94016aaa3a7bd88c740c2a6525a1ae4a9e06d06b22	2024-02-13	Ученик	31	7в
7	Николай Андреевич	Смирнов	ncgmail@ru	scrypt:32768:8:1$H8vbH7JCNpZNTcza$5eecdd6dca24d6249a3994c35dd6759cf7111416007e48ca2dcc87e690ed2358dbf8ce7729a16606b41809dadca5b713e1915a2fa3bfefd48111c13a9d35b065	2024-03-12	Учитель	0	103
8	Наталья Николаевна	Смирнова	ngmail@ru	scrypt:32768:8:1$HAZ7z1sbKoDa3IkW$15f33689905040ce0e863d226fa59da9c8ac950989e588b53e62fc04d2a39d44f08233ace410ffe0e70a44813bf8bb4f57b56baf7b53e09c2a769bd0520e2b16	2024-03-12	Учитель	0	205
9	Константин Иванович	Щербаков	agmail@ru	scrypt:32768:8:1$D5P3WN48HzAiILqi$98920147ebc9783c3014bf39a0312d92ebe04f38735fe16a33f4832d98a4a0d301c44c5e9ab0ac20c20084cef31b523f4e1d60cbb2e235255d8fc49fb7e22e3b	2024-03-12	Учитель	0	207
10	Андрей	Федорчук	aagmail@ru	scrypt:32768:8:1$4rmjHjl0DXnjHxGH$bd830e647bc0b653654128cc390fe759de7a4a0266567f13c61363c3161ff44e6de3e500eb2c72d8b8fface5db0b822fc847c0adf3a587b783b8f95595b55c3f	2024-03-12	Ученик	94	9а
11	Нина Алексеевна	Смирнова	agagmail@ru	scrypt:32768:8:1$uXVhkTaKHW9IeSsb$3c8e0167b05178ca52df51f6e1f4c1815e91ced6e247549c00f2f1df66b8838dc8175bf17b8bbde0f2ef97a2309876b9da9663568af6de2b7fa461c678f56e14	2024-12-27	Учитель	0	109
12	Алексей	Панчук	PanchukAlex0@gmail.com	scrypt:32768:8:1$R5NbLpIV3HwG2slL$44255f1ce73a217bff24698b485e129a4187a1c487ee27844f756b98bf69959affc11a064735d338a464d6a74fcb12cb0ea46ce64de3c4571e69050df2385bf6	0002-05-20	Ученик	0	10и
13	Ксения	Михайловна	Shitikova@gmail.com	scrypt:32768:8:1$KoOJKjqfhlTOnmt2$118a81dce3c90c7bd86af1696b04ff4ab6e3bf0d28c7abebc9b05be46c2f178812df2eb92dc269524b5c44086db4f67b428114e817ac9cad7a534019296501e0	2024-12-21	Учитель	0	103
